body,frequency,rank,gender
MARY,2.629,1,Female
PATRICIA,1.073,2,Female
LINDA,1.035,3,Female
BARBARA,0.980,4,Female
ELIZABETH,0.937,5,Female
JENNIFER,0.932,6,Female
MARIA,0.828,7,Female
SUSAN,0.794,8,Female
MARGARET,0.768,9,Female
DOROTHY,0.727,10,Female
LISA,0.704,11,Female
NANCY,0.669,12,Female
KAREN,0.667,13,Female
BETTY,0.666,14,Female
HELEN,0.663,15,Female
SANDRA,0.629,16,Female
DONNA,0.583,17,Female
CAROL,0.565,18,Female
RUTH,0.562,19,Female
SHARON,0.522,20,Female
MICHELLE,0.519,21,Female
LAURA,0.510,22,Female
SARAH,0.508,23,Female
KIMBERLY,0.504,24,Female
DEBORAH,0.494,25,Female
JESSICA,0.490,26,Female
SHIRLEY,0.482,27,Female
CYNTHIA,0.469,28,Female
ANGELA,0.468,29,Female
MELISSA,0.462,30,Female
BRENDA,0.455,31,Female
AMY,0.451,32,Female
ANNA,0.440,33,Female
REBECCA,0.430,34,Female
VIRGINIA,0.430,35,Female
KATHLEEN,0.424,36,Female
PAMELA,0.416,37,Female
MARTHA,0.412,38,Female
DEBRA,0.408,39,Female
AMANDA,0.404,40,Female
STEPHANIE,0.400,41,Female
CAROLYN,0.385,42,Female
CHRISTINE,0.382,43,Female
MARIE,0.379,44,Female
JANET,0.379,45,Female
CATHERINE,0.373,46,Female
FRANCES,0.370,47,Female
ANN,0.364,48,Female
JOYCE,0.364,49,Female
DIANE,0.359,50,Female
ALICE,0.357,51,Female
JULIE,0.348,52,Female
HEATHER,0.337,53,Female
TERESA,0.336,54,Female
DORIS,0.335,55,Female
GLORIA,0.335,56,Female
EVELYN,0.322,57,Female
JEAN,0.315,58,Female
CHERYL,0.315,59,Female
MILDRED,0.313,60,Female
KATHERINE,0.313,61,Female
JOAN,0.306,62,Female
ASHLEY,0.303,63,Female
JUDITH,0.297,64,Female
ROSE,0.296,65,Female
JANICE,0.285,66,Female
KELLY,0.283,67,Female
NICOLE,0.281,68,Female
JUDY,0.276,69,Female
CHRISTINA,0.275,70,Female
KATHY,0.272,71,Female
THERESA,0.271,72,Female
BEVERLY,0.267,73,Female
DENISE,0.264,74,Female
TAMMY,0.259,75,Female
IRENE,0.252,76,Female
JANE,0.250,77,Female
LORI,0.248,78,Female
RACHEL,0.242,79,Female
MARILYN,0.241,80,Female
ANDREA,0.236,81,Female
KATHRYN,0.234,82,Female
LOUISE,0.229,83,Female
SARA,0.229,84,Female
